# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Sun Jun 21 02:14:01 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Attention: photometry includes extinction of Av=0.04681, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0001 -2.19174 10.00000 0.1000000015 1.1711064577    0.100 -2.782  3.5584  5.406    1  0.000  0.545     0.00     0.00 -1  -1.3e-16      0.00 7.463e-01 2.536e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.726 16.848 13.879 12.249 11.607 11.221
0.0001 -2.19174 10.00000 0.1098214313 1.2482755184    0.109 -2.634  3.5738  5.357    1  0.000  0.545     0.00     0.00 -1 -1.85e-16      0.00 7.448e-01 2.551e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.354 15.975 13.280 11.795 11.221 10.878
0.0001 -2.19174 10.00000 0.1294642836 1.3786746264    0.129 -2.393  3.5963  5.278    1  0.000  0.545     0.00     0.00 -1 -3.25e-16      0.00 7.422e-01 2.577e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.752 14.738 12.379 11.102 10.603 10.307
0.0001 -2.19174 10.00000 0.1491071582 1.4855960608    0.149 -2.231  3.6076  5.224    1  0.000  0.545     0.00     0.00 -1 -4.67e-16      0.00 7.405e-01 2.594e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.348 14.053 11.842 10.659 10.192 9.916
0.0001 -2.19174 10.00000 0.1687500030 1.5756140947    0.168 -2.106  3.6150  5.181    1  0.000  0.545     0.00     0.00 -1 -6.17e-16      0.00 7.397e-01 2.602e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.034 13.569 11.448 10.320 9.872 9.610
0.0001 -2.19174 10.00000 0.2080357224 1.7204496861    0.207 -1.902  3.6260  5.112    1  0.000  0.545     0.00     0.00 -1 -9.62e-16      0.00 7.392e-01 2.607e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.524 12.815 10.822 9.773 9.354 9.110
0.0001 -2.19174 10.00000 0.2571428716 1.8581268787    0.257 -1.712  3.6360  5.055    1  0.000  0.545     0.00     0.00 -1 -1.43e-15      0.00 7.393e-01 2.606e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 9.049 12.130 10.248 9.266 8.871 8.644
0.0001 -2.19174 10.00000 0.3062500358 1.9652637243    0.306 -1.565  3.6444  5.018    1  0.000  0.545     0.00     0.00 -1 -1.92e-15      0.00 7.394e-01 2.605e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.682 11.598 9.805 8.873 8.497 8.284
0.0001 -2.19174 10.00000 0.3553571701 2.0521113873    0.355 -1.442  3.6522  4.991    1  0.000  0.544     0.00     0.00 -1 -2.44e-15      0.00 7.404e-01 2.595e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.001e-04 8.375 11.142 9.432 8.542 8.185 7.984
0.0001 -2.19174 10.00000 0.4044643044 2.1246092319    0.404 -1.324  3.6604  4.962    1  0.000  0.545     0.00     0.00 -1  -3.1e-15      0.00 7.502e-01 2.497e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.994e-05 8.079 10.694 9.070 8.224 7.884 7.696
0.0001 -2.19174 10.00000 0.4535714388 2.1864814758    0.453 -1.180  3.6734  4.920    1  0.000  0.545     0.00     0.00 -1 -4.27e-15      0.00 7.507e-01 2.492e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 7.721 10.103 8.615 7.835 7.523 7.354
0.0001 -2.19174 10.00000 0.5026785731 2.2401986122    0.503 -1.021  3.6875  4.863    1  0.000  0.545     0.00     0.00 -1 -6.25e-15      0.00 7.523e-01 2.476e-01 1.788e-05 4.824e-06 4.375e-05 -1.000 9.996e-05 7.323 9.470 8.122 7.409 7.126 6.977
0.0001 -2.19174 10.00000 0.5517857671 2.2851314545    0.551 -0.830  3.7060  4.786    1  0.000  0.544     0.00     0.00 -1 -1.01e-14      0.00 7.793e-01 2.206e-01 1.605e-05 4.332e-06 3.930e-05 -1.000 9.999e-05 6.846 8.719 7.537 6.906 6.659 6.536
0.0001 -2.19174 10.00000 0.5857202411 2.3111710548    0.585 -0.694  3.7222  4.740    1  0.000  0.544     0.00     0.00 -1 -1.41e-14      0.00 7.868e-01 2.131e-01 1.556e-05 4.202e-06 3.813e-05 -1.000 9.999e-05 6.505 8.173 7.115 6.550 6.334 6.233
0.0001 -2.19174 10.00000 0.6008928418 2.3217256069    0.600 -0.635  3.7292  4.721    1  0.000  0.544     0.00     0.00 -1 -1.63e-14      0.00 7.901e-01 2.098e-01 1.535e-05 4.145e-06 3.762e-05 -1.000 1.000e-04 6.359 7.947 6.936 6.399 6.196 6.104
